,group,video_fourier_tempogram_audio_chroma,video_fourier_tempogram_audio_fourier_tempogram,video_fourier_tempogram_audio_hpcp,video_fourier_tempogram_audio_mfcc,video_fourier_tempogram_audio_onsets,video_fourier_tempogram_audio_rms,video_fourier_tempogram_audio_tempogram,video_fourier_tempogram_audio_tonnetz,video_fourier_tempogram_audio_vggish_layer0,video_fourier_tempogram_audio_vggish_layer1,video_fourier_tempogram_audio_vggish_layer2,video_fourier_tempogram_audio_vggish_layer3,video_fourier_tempogram_audio_vggish_layer4,video_onsets_audio_chroma,video_onsets_audio_fourier_tempogram,video_onsets_audio_hpcp,video_onsets_audio_mfcc,video_onsets_audio_onsets,video_onsets_audio_rms,video_onsets_audio_tempogram,video_onsets_audio_tonnetz,video_onsets_audio_vggish_layer0,video_onsets_audio_vggish_layer1,video_onsets_audio_vggish_layer2,video_onsets_audio_vggish_layer3,video_onsets_audio_vggish_layer4,video_slowfast_layer0_audio_chroma,video_slowfast_layer0_audio_fourier_tempogram,video_slowfast_layer0_audio_hpcp,video_slowfast_layer0_audio_mfcc,video_slowfast_layer0_audio_onsets,video_slowfast_layer0_audio_rms,video_slowfast_layer0_audio_tempogram,video_slowfast_layer0_audio_tonnetz,video_slowfast_layer0_audio_vggish_layer0,video_slowfast_layer0_audio_vggish_layer1,video_slowfast_layer0_audio_vggish_layer2,video_slowfast_layer0_audio_vggish_layer3,video_slowfast_layer0_audio_vggish_layer4,video_slowfast_layer1_audio_chroma,video_slowfast_layer1_audio_fourier_tempogram,video_slowfast_layer1_audio_hpcp,video_slowfast_layer1_audio_mfcc,video_slowfast_layer1_audio_onsets,video_slowfast_layer1_audio_rms,video_slowfast_layer1_audio_tempogram,video_slowfast_layer1_audio_tonnetz,video_slowfast_layer1_audio_vggish_layer0,video_slowfast_layer1_audio_vggish_layer1,video_slowfast_layer1_audio_vggish_layer2,video_slowfast_layer1_audio_vggish_layer3,video_slowfast_layer1_audio_vggish_layer4,video_slowfast_layer2_audio_chroma,video_slowfast_layer2_audio_fourier_tempogram,video_slowfast_layer2_audio_hpcp,video_slowfast_layer2_audio_mfcc,video_slowfast_layer2_audio_onsets,video_slowfast_layer2_audio_rms,video_slowfast_layer2_audio_tempogram,video_slowfast_layer2_audio_tonnetz,video_slowfast_layer2_audio_vggish_layer0,video_slowfast_layer2_audio_vggish_layer1,video_slowfast_layer2_audio_vggish_layer2,video_slowfast_layer2_audio_vggish_layer3,video_slowfast_layer2_audio_vggish_layer4,video_slowfast_layer3_audio_chroma,video_slowfast_layer3_audio_fourier_tempogram,video_slowfast_layer3_audio_hpcp,video_slowfast_layer3_audio_mfcc,video_slowfast_layer3_audio_onsets,video_slowfast_layer3_audio_rms,video_slowfast_layer3_audio_tempogram,video_slowfast_layer3_audio_tonnetz,video_slowfast_layer3_audio_vggish_layer0,video_slowfast_layer3_audio_vggish_layer1,video_slowfast_layer3_audio_vggish_layer2,video_slowfast_layer3_audio_vggish_layer3,video_slowfast_layer3_audio_vggish_layer4,video_slowfast_layer4_audio_chroma,video_slowfast_layer4_audio_fourier_tempogram,video_slowfast_layer4_audio_hpcp,video_slowfast_layer4_audio_mfcc,video_slowfast_layer4_audio_onsets,video_slowfast_layer4_audio_rms,video_slowfast_layer4_audio_tempogram,video_slowfast_layer4_audio_tonnetz,video_slowfast_layer4_audio_vggish_layer0,video_slowfast_layer4_audio_vggish_layer1,video_slowfast_layer4_audio_vggish_layer2,video_slowfast_layer4_audio_vggish_layer3,video_slowfast_layer4_audio_vggish_layer4,video_tempogram_audio_chroma,video_tempogram_audio_fourier_tempogram,video_tempogram_audio_hpcp,video_tempogram_audio_mfcc,video_tempogram_audio_onsets,video_tempogram_audio_rms,video_tempogram_audio_tempogram,video_tempogram_audio_tonnetz,video_tempogram_audio_vggish_layer0,video_tempogram_audio_vggish_layer1,video_tempogram_audio_vggish_layer2,video_tempogram_audio_vggish_layer3,video_tempogram_audio_vggish_layer4
0,trashbenny,1.8357986846240237e-05,2.5121626094914973e-05,4.410377641761443e-06,3.8043017411837354e-06,5.14903058501659e-06,2.9167354114179034e-06,0.0010779362637549639,4.126955445826752e-06,4.528259978542337e-06,3.2696584639779758e-06,7.686343792556727e-07,1.4956085578887723e-05,2.4267677872558124e-05,0.007263970095664263,3.123488204437308e-05,0.0002546992909628898,8.273034472949803e-05,0.057267334312200546,0.015870314091444016,0.001264540245756507,0.0009363436256535351,7.827144145267084e-06,9.64822334026394e-07,1.168163180409465e-06,1.804557177820243e-05,6.848209886811674e-05,0.00012225453974679112,3.348388054291718e-05,6.708015462209005e-06,5.781415438832482e-06,9.418194167665206e-06,4.5981032599229366e-06,0.0012229857966303825,5.47579020349076e-06,5.108443474455271e-06,1.7374622984789312e-06,1.4905285752320196e-06,1.8695172911975533e-05,6.95626949891448e-05,4.837079814024037e-06,7.749194992356934e-06,2.403770622549928e-06,2.1997896055836463e-06,2.9233422083052574e-06,1.6797498574305791e-06,0.0013888477114960551,2.165190380765125e-06,2.2246326807362493e-06,1.8062282833852805e-06,5.381565415518708e-07,1.3887940440326929e-05,5.506843990588095e-06,1.052519337463309e-06,1.4394956906471634e-06,2.8745671443175524e-06,2.9085758797009476e-06,3.1832400964049157e-06,2.5442732294322923e-06,0.0003453324898146093,2.888822336899466e-06,2.9473385438905098e-06,2.6174611775786616e-06,1.4549287925547105e-06,3.620853703978355e-06,9.155937163995986e-07,5.429760676634032e-07,7.433322934957687e-07,1.2420212414099296e-08,1.1278794787017432e-08,2.1640428116143084e-08,9.465917827355952e-09,8.846355194691569e-05,1.0599054967030952e-08,9.915209986388618e-09,4.750486226612338e-09,5.045737694331365e-08,2.47092975769192e-06,5.691226760973223e-07,2.4003509224712616e-07,2.729354662278638e-07,8.048415267580822e-09,8.301506149166471e-09,1.2533369897482771e-08,7.826416847933615e-09,3.571749402908608e-05,7.408964108890359e-09,7.614001873434972e-09,5.542042380568546e-09,2.2365725271811243e-08,9.428072189621162e-07,2.492007524779183e-07,0.0002310222334926948,0.00020030405721627176,0.00030242008506320417,0.00024266779655590653,0.00022059495677240193,0.00024607620434835553,0.0005240077152848244,0.00026210639043711126,0.00029714975971728563,0.00022698554676026106,0.00021693381131626666,0.00011837541387649253,0.00016658911772537977
1,maua,6.984069477766752e-05,1.4586295947083272e-05,1.3841533927916316e-06,2.9459108645824017e-06,3.7940619677101495e-06,2.420106966383173e-06,0.0017338052857667208,1.956834694283316e-06,2.575713324404205e-06,1.961377847692347e-06,5.473977580550127e-06,1.2239301213412546e-05,7.81454291427508e-05,0.02050038054585457,2.1465186364366673e-05,9.483241592533886e-05,9.296076314058155e-05,0.05864501744508743,0.02303030714392662,0.001487366622313857,0.0005903388373553753,8.277822416857816e-06,1.1084899824709282e-06,7.226101843116339e-06,1.328108373854775e-05,0.00019578528008423746,0.00028412160463631153,1.327691825281363e-05,4.19871139456518e-05,5.140238499734551e-05,6.707607099087909e-05,4.913350858259946e-05,0.0015473796520382166,3.8488185964524746e-05,5.509157927008346e-05,2.3379183403449133e-05,4.568487838696456e-06,9.565579603076912e-06,0.00014225933409761637,9.990277249016799e-06,4.48806849817629e-06,7.751045814075042e-06,8.82454332895577e-06,9.758043233887292e-06,8.577548214816488e-06,0.001200744416564703,8.068936949712224e-06,9.197818144457415e-06,8.213448381866328e-06,2.4647347345307935e-06,5.847145075676963e-06,1.1727117453119718e-05,3.1610356927558314e-06,8.559726438761572e-07,6.4510948050156e-07,9.88142119240365e-07,1.153435732703656e-06,8.440474630333483e-07,0.0004654937656596303,7.312077059395961e-07,9.567809229338309e-07,8.690952313372691e-07,3.1385982879328367e-07,4.304304638935719e-06,4.2690062400652096e-06,1.6264249325104174e-06,4.96756797474518e-07,5.768881816692328e-09,3.243966428811973e-09,5.9662697005080645e-09,6.397165019933482e-09,0.0001199545367853716,1.0301409503199466e-08,1.4205143727963332e-09,1.2910881252992112e-09,3.2338158462152933e-07,2.025590220000595e-06,1.7627475017434335e-06,6.546764552695095e-07,2.0336935335762973e-07,4.389073104960062e-09,1.871682364651406e-09,5.070768249737512e-10,3.7651166628904775e-09,3.878065035678446e-05,6.4707581515222046e-09,3.799194292497532e-10,1.5271797160210099e-09,1.4182603536028182e-07,8.159826734299713e-07,7.963957386891707e-07,0.0002349329588469118,0.0003265585983172059,0.00030168151715770364,0.000401785975554958,0.00039599466254003346,0.00033773790346458554,0.0005537231918424368,0.0004079326754435897,0.00042224687058478594,0.00031542679062113166,0.0002541994908824563,0.00010171977191930637,0.00025568605633452535
2,phony,6.437076081056148e-05,1.4072547855903395e-05,9.922725894284667e-07,1.4679317246191204e-06,2.100464371324051e-06,1.2689407640209538e-06,0.0008459761156700552,9.571309647071757e-07,1.2044190498272656e-06,7.011904017417692e-07,3.4624799809535034e-06,8.627239367342554e-06,6.296182982623577e-05,0.017514411360025406,1.4007786376168951e-05,0.00010572848259471357,8.137684199027717e-05,0.050437696278095245,0.02605747990310192,0.0008207103237509727,0.00046731674228794873,5.9572685131570324e-06,5.876775617252861e-07,3.8847642827022355e-06,9.341250006400514e-06,0.00014704435307066888,0.00034699300886131823,1.6900154150789604e-05,1.7757414525476634e-06,2.676676331248018e-06,3.4382960620860104e-06,5.326153313944815e-06,0.0010437264572829008,1.9531103134795558e-06,2.1952957922621863e-06,8.400458000323852e-07,5.431716999737546e-06,1.0209746506006923e-05,0.00015400390839204192,1.7063495761249214e-05,2.9900336357968627e-06,1.2313627166804508e-06,1.6074673112598248e-06,1.9386234271223657e-06,1.441780341338017e-06,0.000774929067119956,1.4967173456170713e-06,1.4520442164212e-06,1.139877895184327e-06,1.2279876955290092e-06,7.024201295280363e-06,1.4062734408071265e-05,2.8584245228557847e-06,6.696154741803184e-07,1.12869111035252e-06,1.215572979162971e-06,1.3638234577229014e-06,1.1231234111619415e-06,0.00021069747162982821,1.0781888022393105e-06,1.167353389064374e-06,9.14254087547306e-07,3.6427195482247043e-07,2.6509369490668178e-06,2.693628630368039e-06,7.591792723360413e-07,1.4564781736225996e-07,1.6130154278926057e-07,1.784685395023189e-07,2.2015819922671653e-07,1.4963205785534228e-07,6.324131391011178e-05,1.6295759053264192e-07,1.7608776659017167e-07,1.3419263211744692e-07,3.3656956333061316e-08,7.028340860415483e-07,6.860926760055008e-07,2.216603007809681e-07,5.3727305271422665e-08,1.042875652501607e-07,1.2524650117029523e-07,1.3970347367830982e-07,9.676936230107458e-08,1.9081231585005298e-05,1.0736420108514722e-07,1.1990699988473352e-07,9.341992779354769e-08,1.832260032585964e-08,1.922505958873444e-07,1.6538838565338665e-07,0.00014908220327924937,0.0001511763402959332,0.00020838031196035445,0.0001990641321754083,0.0001913878513732925,0.00020061020040884614,0.00037189654540270567,0.00016868903185240924,0.00016642134869471192,0.0001805471838451922,0.0001861271302914247,9.108311496675014e-05,0.00018128914234694093
3,trapnation,6.53557654004544e-05,5.012880137655884e-06,2.604347400847473e-06,4.580439508572454e-06,5.578258424066007e-06,3.9087681216187775e-06,0.0006961754406802356,1.9381525362405227e-06,5.323376626620302e-06,3.975461368099786e-06,7.332210998356459e-07,1.425877144356491e-06,4.0537961467634887e-05,0.021535081788897514,6.267096068768296e-06,8.644424815429375e-05,9.966192010324448e-05,0.06347206979990005,0.03360652178525925,0.0007603128906339407,0.0005139871500432491,1.2153145689808298e-05,2.23654978981358e-06,3.2367194080507034e-07,2.2742224246030673e-06,0.00012170612899353728,0.0003799665137194097,8.035131031647325e-06,1.3443175703287125e-05,2.2278090909821913e-05,2.387383210589178e-05,1.762065221555531e-05,0.0006818808615207672,1.4531170563714113e-05,2.268660864501726e-05,8.430802154180128e-06,1.3011986084165983e-06,2.280668923049234e-06,0.00011053193884436041,1.6113770470838062e-05,3.953995019401191e-06,4.5470878831110895e-06,5.0200997065985575e-06,5.281733137962874e-06,4.938110123475781e-06,0.0009156061569228768,3.65552659786772e-06,5.169474661670392e-06,5.7521438066032715e-06,3.098856495853397e-06,1.472334588470403e-06,9.434630555915646e-06,4.84603333461564e-06,4.573404623897659e-07,1.910576230557126e-07,2.924525119851751e-07,4.256844476913102e-07,2.95149902740377e-07,0.0002610059455037117,1.5304613043554127e-07,3.9741263435644214e-07,3.2596398114037584e-07,9.876071516146112e-08,8.550923098482599e-07,3.294491307315184e-06,1.0999326605087845e-06,9.841620851602784e-08,1.1656415210836713e-07,1.5690019949943235e-07,1.829715756684891e-07,1.5164026478942105e-07,5.7347795518580824e-05,8.950021879172709e-08,1.7614891589801118e-07,1.448557895855629e-07,5.850469264601088e-08,1.3947240518064064e-07,6.477166607510298e-07,5.328366796675255e-07,3.9379514760184975e-08,1.1197929694617414e-08,2.1938571848068023e-08,3.147749083609597e-08,1.995818088573742e-08,2.3064549168339e-05,1.087477663475056e-08,2.667871967787505e-08,2.146062527685899e-08,6.959011145113436e-09,8.450795263570399e-08,3.2686637041479116e-07,8.091524068731815e-05,8.539960981579497e-05,0.0001141876055044122,0.00012538765440694988,0.0001304045581491664,0.00010508697596378624,0.0003766221343539655,0.00012442583101801574,0.00011216258280910552,0.00011222498142160475,9.958018199540675e-05,4.0201208321377635e-05,8.0590856669005e-05
4,invocation,5.933067950536497e-05,6.11784344073385e-06,1.6110526530610514e-06,2.8340220978861907e-06,3.327162630739622e-06,2.268487605761038e-06,0.0010592029429972172,1.9902718122466467e-06,2.0777929421456065e-06,1.0973558346449863e-06,1.4237004506867379e-05,7.936776455608197e-06,2.7796677386504598e-05,0.019323961809277534,7.815571734681726e-06,0.00011874240590259433,0.00010775199189083651,0.06308617442846298,0.02600344642996788,0.001193465432152152,0.0006944769993424416,7.4504787335172296e-06,1.1668389561236836e-06,1.4703325177833904e-05,8.747221727389842e-06,6.601535278605297e-05,0.0003232231247238815,7.604480288136983e-06,2.1678765733668115e-06,3.0068215437495383e-06,3.873691639455501e-06,3.117178948741639e-06,0.0011023007100448012,3.6507401546259644e-06,2.63908805209212e-06,3.168703187839128e-06,1.866591082944069e-05,1.0355763151892461e-05,8.169692591764033e-05,1.3670256521436386e-05,2.2221561266633216e-06,2.0883478555333568e-06,3.1194404073175974e-06,2.7734959076042287e-06,2.509008027118398e-06,0.0012075938284397125,1.9018185639652074e-06,2.6358261493442114e-06,1.4171955626807176e-06,5.304536898620427e-06,6.7585160650196485e-06,5.929400231252657e-06,2.4475962163705844e-06,1.4344536793942098e-06,2.210655111412052e-06,2.61188165495696e-06,2.8035585728503065e-06,2.583861032690038e-06,0.0003117151209153235,2.607894657558063e-06,2.555527998993057e-06,1.9715557755262125e-06,7.449192480635247e-07,1.7269369436689885e-06,1.0287268423780915e-06,8.299127784994198e-07,1.016810671217172e-07,1.5980947409843793e-07,2.0396831246216607e-07,2.374318057718483e-07,1.9656269500956114e-07,7.683293370064348e-05,1.5895068372628884e-07,1.8809777202477562e-07,1.0065166833328476e-07,2.0581754256454587e-07,6.284698201852734e-07,2.255844151477504e-07,3.5485672356116993e-07,2.5821913496315574e-08,1.542699479273324e-08,2.680332400473162e-08,3.4055801734211855e-08,2.2780202613148504e-08,2.4091188606689684e-05,1.8135015267262133e-08,2.3812624760921608e-08,7.552012348810422e-09,1.343919109331182e-07,3.5594700875662966e-07,1.4743727660970762e-07,0.0005052760243415833,0.0005110339261591434,0.0005501597770489752,0.00043448276119306684,0.0005334200104698539,0.0006542276823893189,0.00027142063481733203,0.000502202776260674,0.0005129331257194281,0.0005449021700769663,0.0003924178017769009,0.00019117313786409795,0.000474812084576115
