,group,acav_sgw,acav_pca_corr,acav_pca_wass,chroma_sgw,chroma_pca_corr,chroma_pca_wass,aud_ons_sgw,aud_ons_pca_corr,aud_ons_pca_wass,vid_ons_sgw,vid_ons_pca_corr,vid_ons_pca_wass,dtw_min,dtw_med,dtw_mean,dtw_max,avmi
0,invocation,2.6045010089874268,4.185856819152832,3130.583740234375,0.7770083546638489,0.47610944509506226,627.342041015625,489.89306640625,4.978963851928711,906.0238647460938,0.00496841873973608,4.950850009918213,38.01321029663086,6.039329705673897,98.02597272275716,124.11616995005261,806.5340867120235,137.8506622314453
1,maua,17.90282440185547,6.702721118927002,3130.92626953125,7.643917560577393,1.728405237197876,628.7359619140625,1336427136.0,4.957977294921875,20430.205078125,0.010241390205919743,4.871263027191162,38.74882507324219,5.53924094975838,3143.892217085745,4328.253036232567,32089.37843921961,150.85614013671875
2,phony,2.552037239074707,5.060804843902588,2873.4306640625,0.9494544267654419,1.0368298292160034,576.2106323242188,298875355136.0,4.974915504455566,49405.1953125,0.007112446241080761,4.93144416809082,38.41050720214844,2.947865458288905,3323.012861847156,10533.558259860636,133490.6272319987,157.02249145507812
3,trapnation,1.3848599195480347,5.303867340087891,2998.130126953125,0.6810089349746704,1.3648751974105835,599.7737426757812,36488163328.0,4.977020263671875,23280.12890625,0.01267105434089899,4.943821430206299,39.734073638916016,6.145386531195284,850.5086249863052,4875.216245518514,70854.84928432248,141.56439208984375
4,trashbenny,55.82832336425781,7.615234375,3858.859619140625,15.9498291015625,1.2461415529251099,776.050048828125,5798069248.0,4.961028575897217,30390.720703125,0.007285078056156635,4.9052228927612305,40.05615234375,39.74258950299203,5023.872194215202,6494.589312435823,42924.30178144686,164.97531127929688
