checkpoint,context_fid,laplace_b
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps988160_val0.0432_b0.0368,55.95368957519531,0.03773355377906977
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1111680_val0.0439_b0.0375,57.05867004394531,0.03854401526162791
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1235200_val0.0451_b0.0415,55.549049377441406,0.04111481104651163
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1358720_val0.0445_b0.0392,57.022308349609375,0.039202281976744184
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1482240_val0.0447_b0.0396,57.90070724487305,0.039669375
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1605760_val0.0455_b0.0408,57.832923889160156,0.04180938953488372
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1729280_val0.0453_b0.0422,57.849456787109375,0.041075425145348836
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1852800_val0.0455_b0.0440,56.870933532714844,0.04228638808139535
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1976320_val0.0450_b0.0377,59.276695251464844,0.037866148255813956
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2099840_val0.0461_b0.0398,58.059288024902344,0.04088790334302326
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2223360_val0.0463_b0.0420,57.80029296875,0.042493695494186044
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2346880_val0.0461_b0.0408,57.0755615234375,0.04234831031976744
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2470400_val0.0464_b0.0440,57.191226959228516,0.043547899709302326
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2593920_val0.0459_b0.0414,58.4527473449707,0.041930414244186046
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2717440_val0.0459_b0.0406,57.40821838378906,0.04174656613372093
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2840960_val0.0458_b0.0427,57.00140380859375,0.0422482085755814
audio2latent_mlp_layerwise:6_hidden_size:64_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps2964480_val0.0457_b0.0414,57.62968444824219,0.04155627906976744
